ID,ANO,MES,MARCA,MODELO,TIPOVEHICULO,KM_MES,GrCo2_km,GrCo2
2,2022,1,01476 - PEUGEOT,BOXER,30 - AUTOBUS,0,235,0
11,2022,1,02339 - JEEP,RENEGADE,40 - TURISMO,452,134,61
14,2022,1,00678 - FIAT,FIAT DUCATO,20 - FURGONETA,201,166,33
16,2022,1,01709 - SEAT,TOLEDO,40 - TURISMO,1176,106,125
17,2022,1,01709 - SEAT,TOLEDO,40 - TURISMO,246,106,26
18,2022,1,01709 - SEAT,ALTEA,40 - TURISMO,0,119,0
21,2022,1,01709 - SEAT,LEON 1.9,40 - TURISMO,208,135,28
22,2022,1,01291 - MITSUBISHI,L 200,02 - CAMION CAJA,29,173,5
25,2022,1,02009 - VOLKSWAGEN,PASSAT CC,40 - TURISMO,2596,137,356
28,2022,1,00388 - CITROEN,C2,03 - CAMION FURGON,70,113,8
32,2022,1,01709 - SEAT,LEON,40 - TURISMO,1289,161,208
33,2022,1,00678 - FIAT,DOBLO,20 - FURGONETA,1621,133,216
35,2022,1,01885 - TOYOTA,TOYOTA YARIS HYBRID,40 - TURISMO,423,84,36
37,2022,1,01885 - TOYOTA,TOYOTA YARIS HYBRID,40 - TURISMO,306,84,26
39,2022,1,05466 - UNVI,TGEVEGA,30 - AUTOBUS,2940,,
43,2022,1,01382 - NISSAN,NISSAN E-NV200,20 - FURGONETA,528,0,0
45,2022,1,00678 - FIAT,SEICENTO,21 - FURGONETA MIXTA,77,143,11
46,2022,1,01291 - MITSUBISHI,L 200,02 - CAMION CAJA,325,173,56
50,2022,1,01382 - NISSAN,KUBISTAR,20 - FURGONETA,318,147,47
55,2022,1,01253 - MERCEDES-BENZ,VITO 108 D,0G - VEHICULO MIXTO ADAPTABLE,0,195,0
57,2022,2,01476 - PEUGEOT,BOXER,30 - AUTOBUS,0,235,0
58,2022,2,13461 - FORD-CNG-TECHNIK,MONDEO HÍBRIDO,40 - TURISMO,2182,101,220
59,2022,2,13461 - FORD-CNG-TECHNIK,MONDEO HÍBRIDO,40 - TURISMO,4240,101,428
63,2022,2,01551 - RENAULT,KANGOO,0G - VEHICULO MIXTO ADAPTABLE,1077,140,151
71,2022,2,01709 - SEAT,TOLEDO,40 - TURISMO,2443,106,259
75,2022,2,01476 - PEUGEOT,BOXER 2.0,20 - FURGONETA,65,180,12
76,2022,2,01709 - SEAT,LEON 1.9,40 - TURISMO,520,135,70
81,2022,2,01709 - SEAT,LEON,40 - TURISMO,1050,96,101
82,2022,2,00678 - FIAT,IDEA,40 - TURISMO,920,130,120
83,2022,2,00388 - CITROEN,C2,03 - CAMION FURGON,209,113,24
84,2022,2,01551 - RENAULT,KANGOO EXPRESS Z.E.,20 - FURGONETA,812,0,0
86,2022,2,01382 - NISSAN,NISSAN LEAF 40KWH,40 - TURISMO,922,0,0
88,2022,2,00678 - FIAT,DOBLO,20 - FURGONETA,1931,133,257
93,2022,2,01709 - SEAT,IBIZA,40 - TURISMO,549,109,60
101,2022,2,01291 - MITSUBISHI,L 200,02 - CAMION CAJA,1409,173,244
102,2022,2,01291 - MITSUBISHI,GALLOPER SUPER EXCEED,0G - VEHICULO MIXTO ADAPTABLE,671,173,116
103,2022,2,01382 - NISSAN,KUBISTAR,03 - CAMION FURGON,668,147,98
104,2022,2,01709 - SEAT,LEON ECOMOTIVE,40 - TURISMO,125,99,12
109,2022,2,03670 - IVECO,CC80E18M P,00 - CAMION,1646,220,362
111,2022,3,01476 - PEUGEOT,BOXER,30 - AUTOBUS,5,235,1
120,2022,3,02339 - JEEP,RENEGADE,40 - TURISMO,977,134,131
122,2022,3,02339 - JEEP,RENEGADE,40 - TURISMO,2655,134,356
124,2022,3,01709 - SEAT,ALHAMBR.1.9TDI 6V,40 - TURISMO,260,170,44
125,2022,3,01709 - SEAT,TOLEDO,40 - TURISMO,3159,106,335
127,2022,3,01709 - SEAT,ALTEA,40 - TURISMO,0,119,0
130,2022,3,01709 - SEAT,LEON 1.9,40 - TURISMO,332,135,45
132,2022,3,01709 - SEAT,ALHAMBRA,40 - TURISMO,3104,150,466
133,2022,3,01709 - SEAT,LEON,40 - TURISMO,913,96,88
137,2022,3,00388 - CITROEN,C2,03 - CAMION FURGON,382,113,43
139,2022,3,00388 - CITROEN,C2,03 - CAMION FURGON,484,113,55
151,2022,3,01885 - TOYOTA,AURIS HSD ACTIV,40 - TURISMO,563,89,50
154,2022,3,00678 - FIAT,SEICENTO,21 - FURGONETA MIXTA,237,143,34
158,2022,3,01709 - SEAT,LEON ECOMOTIVE,40 - TURISMO,95,99,9
161,2022,3,01709 - SEAT,ALTEA,40 - TURISMO,840,142,119
167,2022,4,13461 - FORD-CNG-TECHNIK,MONDEO HÍBRIDO,40 - TURISMO,5074,101,512
168,2022,4,13461 - FORD-CNG-TECHNIK,MONDEO HÍBRIDO,40 - TURISMO,3443,101,348
170,2022,4,01382 - NISSAN,KUBISTAR,03 - CAMION FURGON,292,147,43
175,2022,4,02339 - JEEP,RENEGADE,40 - TURISMO,1001,134,134
179,2022,4,01709 - SEAT,ALHAMBR.1.9TDI 6V,40 - TURISMO,153,170,26
182,2022,4,01709 - SEAT,ALTEA,40 - TURISMO,0,119,0
183,2022,4,01709 - SEAT,LEON 1.9,40 - TURISMO,1032,135,139
